date,title,link
7/1/2025,"Adam Keith, Patterson-UTI: Forging a path from floorhand to MPD champion",http://www.drillingcontractor.org/?p=73772
4/23/2025,Strategic upgrades likely to sustain offshore rig fleet in foreseeable future,http://www.drillingcontractor.org/?p=72704
4/23/2025,"Offshore drilling evolves with closed-loop controls, MPD, vibration mitigation",http://www.drillingcontractor.org/?p=72721
3/11/2025,"Liability, cybersecurity and cost among barriers to achieving interoperable rig systems",http://www.drillingcontractor.org/?p=72195
3/11/2025,Petrobras enhances human factors thinking to improve safety in MPD operations,http://www.drillingcontractor.org/?p=72179
1/23/2025,"Value-driven innovations will stand out amid focus on fiscal caution, efficiency improvement",http://www.drillingcontractor.org/?p=71525
1/23/2025,News Cuttings,http://www.drillingcontractor.org/?p=71486
1/23/2025,"Noble drillship visit provides UT students with up-close look at rig life, drilling equipment",http://www.drillingcontractor.org/?p=71459
10/22/2024,"The IADC team: Honoring  our past, celebrating our future",http://www.drillingcontractor.org/?p=70513
7/11/2024,Automation initiatives show untapped potential in drilling optimization,http://www.drillingcontractor.org/?p=69603
4/24/2024,Drilling & Completion Tech Digest,http://www.drillingcontractor.org/?p=68691
3/11/2024,"Projects in GOM, Mediterranean showcase expanded value of MPD in optimization, efficiency",http://www.drillingcontractor.org/?p=68253
3/11/2024,Drilling & Completion News,http://www.drillingcontractor.org/?p=68198
1/26/2024,"People, Companies & Products",http://www.drillingcontractor.org/?p=67707
1/26/2024,Drillers seek ways to maintain capital discipline while still investing to keep rigs competitive,http://www.drillingcontractor.org/?p=67663
10/31/2023,"IADC presses ahead on workforce development and training, advocacy",http://www.drillingcontractor.org/?p=66634
10/31/2023,Looking back at IADC activities in 2023: A year of living our legacy,http://www.drillingcontractor.org/?p=66630
10/31/2023,Precision leverages automation to take productivity to next level,http://www.drillingcontractor.org/?p=66658
10/31/2023,IADC’s new Riser Gas Handling Guidelines set to enhance safety of deepwater drilling operations,http://www.drillingcontractor.org/?p=66625
8/28/2023,"Amid growing uptake of MPD in deepwater, controlled mud level technology deserves another look",http://www.drillingcontractor.org/?p=66149
6/19/2023,"Perspectives: Robert van Kuilenburg, Noble – Innovative thinking can push drilling into new frontiers",http://www.drillingcontractor.org/?p=65710
4/25/2023,Semisubmersibles vs jackups on Norwegian Continental Shelf: comparing the pros and cons,http://www.drillingcontractor.org/?p=65238
1/25/2023,MPD-enabled real-time pressure testing helps Shell improve safety in ‘conventionally undrillable wells’,http://www.drillingcontractor.org/?p=64594
1/25/2023,New well design and MPD deployed to manage pressure uncertainties in Gulf of Thailand,http://www.drillingcontractor.org/?p=64507
1/25/2023,Machine learning-based pressure management technology brings full automation to MPD operations,http://www.drillingcontractor.org/?p=64487
1/25/2023,Dilution-based dual-gradient technique aims to remove limiters for drilling ultra-deep wells,http://www.drillingcontractor.org/?p=64551
1/25/2023,"Fast innovation process allows Petrobras to tap Búzios with lower cost, higher reliability",http://www.drillingcontractor.org/?p=64496
1/25/2023,"Investments in digital systems, sustainability will help drillers carve niche in new landscape",http://www.drillingcontractor.org/?p=64481
10/24/2022,"Buoyed by strong oil prices and rig demand, offshore drilling to see continued comeback in 2023",https://drillingcontractor.org/?p=64003
10/24/2022,"Perspectives: Martyn Parker, Pruitt – Technical safety, working to industry’s recommended practices are both non-negotiable",https://drillingcontractor.org/?p=63936
10/24/2022,Drilling contractors can play important roles in supporting scale-up of geothermal energy,https://drillingcontractor.org/?p=63910
8/30/2022,Autonomous drilling at scale: How close are we?,https://drillingcontractor.org/?p=63571
8/30/2022,Automation of tubular running services is set to transform rig floor operations,https://drillingcontractor.org/?p=63527
7/7/2022,"The art of data science: Industry hones in on reliability, ease of use",https://drillingcontractor.org/?p=63276
4/21/2022,Case study: Chevron deploys below-tension-ring MPD to drill highly depleted reservoir in GOM,https://drillingcontractor.org/?p=62765
3/15/2022,"People, Companies and Products",https://drillingcontractor.org/?p=62530
1/20/2022,Collaborative engineering unlocks optimal design for MPD system on land drilling rigs,https://drillingcontractor.org/?p=62134
11/3/2021,"Driven by Golden Triangle demand, drillship recovery eclipses jackups",https://drillingcontractor.org/?p=61459
11/3/2021,"IADC presses ahead on ESG, training and information sharing",https://drillingcontractor.org/?p=61506
11/3/2021,"This time, energy transition digging deep into our roots",https://drillingcontractor.org/?p=61474
8/18/2021,Oil and gas drilling innovations could fill technology gaps to make ‘geothermal anywhere’ a reality,https://drillingcontractor.org/?p=61003
1/19/2021,IADC Board of Directors elects 2021 officers,https://drillingcontractor.org/?p=59032
10/27/2020,"Amid global pandemic, IADC leverages digital platforms to deliver member services and continue industry representation worldwide",https://drillingcontractor.org/?p=58255
10/27/2020,US land drilling faces long road to recovery,https://drillingcontractor.org/?p=58240
9/2/2020,"Data analytics, artificial intelligence facilitate development of failure prediction models for subsea BOPs",https://drillingcontractor.org/?p=57655
7/7/2020,"Digital twins drive remote monitoring, integrity management",https://drillingcontractor.org/?p=57007
3/6/2020,"Brian Piccolo, AFGlobal: Vision for safer, more autonomous drilling guides his work as Chairman of IADC UBO/MPD Committee",https://drillingcontractor.org/?p=55406
3/6/2020,Surge and swab during drill pipe connections on floaters may affect pressure windows in calm weather,https://drillingcontractor.org/?p=55391
3/6/2020,"Stena Drilling: A journey from zero MPD capability to fully integrated, ‘owned and operated’ MPD service",https://drillingcontractor.org/?p=55417
3/6/2020,"In evaluating the business case for implementing MPD, well design optimization is too often overlooked",https://drillingcontractor.org/?p=55385
3/6/2020,A novel approach of analyzing well sections as MPD candidates,https://drillingcontractor.org/?p=55393
3/6/2020,"After slow period, South America now brims with potential",https://drillingcontractor.org/?p=55415
1/22/2020,"Jerome Schubert, Texas A&M University: Recognition that there’s always more to learn drives passion for research, academics",https://drillingcontractor.org/?p=54977
10/24/2019,Exciting initiatives on the horizon as IADC heads into 80th year,https://drillingcontractor.org/?p=54343
10/24/2019,Nabors develops MPD Return Flow Pathways procedure to manage non-well control use of rig chokes,https://drillingcontractor.org/?p=54306
8/29/2019,Controlled mud level system finds extension from drilling to cementing,https://drillingcontractor.org/?p=53377
8/29/2019,Shell successes pave path for MPC in complex deepwater Gulf of Mexico,https://drillingcontractor.org/?p=53374
8/29/2019,"Multifunctional semisubmersible designed with heave-compensated drill floor and large, flat deckspace",https://drillingcontractor.org/?p=53358
8/29/2019,"New tool enables visualization of real-time EFD, vibration data from multiple points in drillstring",https://drillingcontractor.org/?p=53351
8/29/2019,"Pilot test for automated mud management leverages real-time monitoring, hydraulic modeling",https://drillingcontractor.org/?p=53349
8/29/2019,"Comprehensive assessment targets feasibility of using 7th-gen floaters to go beyond the 12,000-ft frontier",https://drillingcontractor.org/?p=53341
6/19/2019,"Simulator time, understanding of wellbore pressures underpin well control course",https://drillingcontractor.org/?p=52511
6/19/2019,Intelligent software system aims to boost MPD’s value proposition,https://drillingcontractor.org/?p=52375
4/26/2019,Simulator-based training can help crews better prepare for complex MPD operations,https://drillingcontractor.org/?p=51584
4/26/2019,"IADC strengthens next-gen engagement with new student chapter, YP Committee",https://drillingcontractor.org/?p=51574
4/26/2019,A rising tide for offshore drillers,https://drillingcontractor.org/?p=51590
3/6/2019,"Hybrid system taps benefits of both MPD, underbalanced drilling, opens new horizons in southern Pakistan",https://drillingcontractor.org/?p=51069
3/6/2019,"Rethinking approach to testing, design of MPD choke control systems may lead to simplification",https://drillingcontractor.org/?p=51075
3/6/2019,Modest signs indicate a comeback may be in the offing for Brazil,https://drillingcontractor.org/?p=51068
3/6/2019,Killalea retires from IADC with legacy of leadership and innovation,https://drillingcontractor.org/?p=51032
1/25/2019,New beginnings as DC celebrates 75th anniversary,https://drillingcontractor.org/?p=50182
1/25/2019,"Automation, collaboration, diversity to be key topics at 2019 SPE/IADC International Drilling Conference",https://drillingcontractor.org/?p=50180
10/24/2018,"DC fly-in, WellSharp Well Servicing, student chapters, BOP database, new Drilling Matters modules among wealth of IADC initiatives in 2018",https://drillingcontractor.org/?p=49042
10/24/2018,"Walking MPD-Ready rigs developed with integrated hardware, software to overcome operational inefficiencies",https://drillingcontractor.org/?p=49009
8/23/2018,"André Alonso Fernandes, Petrobras: Collaboration, sharing of lessons learned will be key to creating better MPD solutions",https://drillingcontractor.org/?p=48384
8/23/2018,"Industry/academia collaboration results in rapid development of intelligent, self-learning drilling app",https://drillingcontractor.org/?p=48380
8/23/2018,Land drillers usher in era of super-spec rigs,https://drillingcontractor.org/?p=48413
6/26/2018,Drilling in the digital age: A new world begins to take shape,https://drillingcontractor.org/?p=47378
3/12/2018,Integration enables deepwater MPD solution with a single control system,https://drillingcontractor.org/?p=45891
3/12/2018,"Shell addresses human factors, technology limits to deploy MPD on exploratory HPHT campaign",https://drillingcontractor.org/?p=45904
3/12/2018,MPD vs underbalanced drilling: 10 ways they differ in operational strategy and implementation,https://drillingcontractor.org/?p=45943
2/2/2018,"2018 IADC/SPE Drilling Conference offers forum to share technical expertise, learn from industry peers",https://drillingcontractor.org/?p=45410
11/2/2017,"2017 in review: IADC advances member interests through worldwide advocacy and engagement, accreditation programs, technical resources",https://drillingcontractor.org/?p=44817
11/2/2017,LWD sonic sensor technology can complement wireline CBL evaluation to validate top of cement,https://drillingcontractor.org/?p=44751
11/2/2017,"Deepwater drilling segment reaches nadir in 2017, may see beginnings of a steady recovery in 2018",https://drillingcontractor.org/?p=44729
9/5/2017,15K-rated rig modified to meet 20K exploration challenge in Norway,https://drillingcontractor.org/?p=44021
9/5/2017,"In Brazil, it’s two steps forward, one step back",https://drillingcontractor.org/?p=44083
9/5/2017,"To get the most out of drilling simulators, follow these 5 principles for designing training exercises",https://drillingcontractor.org/?p=44035
7/3/2017,"In-situ riser inspection system provides ultrasonic wall thickness, crack detection in a single run",https://drillingcontractor.org/?p=43411
7/3/2017,"Trial well onshore Canada verifies dual drill string drilling method, enables managed gradient drilling",https://drillingcontractor.org/?p=43389
4/25/2017,Petrobras finds success in using adapted MPD techniques for deepwater completions operations,https://drillingcontractor.org/?p=42588
3/10/2017,Experimental setup at Texas A&M Dual Gradient Drilling Lab aims to study riser gas migration in controlled mud level drilling system,https://drillingcontractor.org/?p=41811
3/10/2017,"Coiled-tubing cementing operation on HPHT well uses MPD technique to lower costs, ensure integrity",https://drillingcontractor.org/?p=41816
3/10/2017,Influx management envelope deployed during planning phase for 3 sections of deepwater MPD well,https://drillingcontractor.org/?p=41793
3/10/2017,"Light annular mud cap drilling, downhole isolation valve help to drill fractured gas reservoir in Indonesia",https://drillingcontractor.org/?p=41813
1/30/2017,Drilling & Completions Tech Digest,https://drillingcontractor.org/?p=41312
1/30/2017,Critical issues in drilling & completions,https://drillingcontractor.org/?p=41243
10/25/2016,"In 2016, association stepped up wide-ranging advocacy efforts by engaging with and educating lawmakers, regulators, general public",https://drillingcontractor.org/?p=40784
10/24/2016,Deepwater leveling out but likely to stay flat through 2018,https://drillingcontractor.org/?p=40557
8/30/2016,"Troubled Brazil works to open pre-salt, ease regulatory restrictions",https://drillingcontractor.org/?p=40140
8/30/2016,"With BSEE Well Control Rule in force, it’s time to take another look at RFC-HSE variant of MPD",https://drillingcontractor.org/?p=40216
4/27/2016,I can tell you when oil prices will rebound…,https://drillingcontractor.org/?p=39320
4/27/2016,"Perspectives: Mel Whitby, Cameron: Simplification critical to future BOP performance",https://drillingcontractor.org/?p=39414
4/27/2016,"To support pre-salt drilling strategy, Petrobras converting 15 rigs to be MPD-ready by year-end 2016",https://drillingcontractor.org/?p=39345
4/27/2016,Onshore drillers pull all available cost levers to economize wells,https://drillingcontractor.org/?p=39361
4/27/2016,"Reservoir complexity, corrosion, mobility drive innovation in pre-salt completion strategies, design",https://drillingcontractor.org/?p=39379
3/7/2016,Competition for rig work ratchets up in Asia Pacific,https://drillingcontractor.org/?p=38714
3/7/2016,Flow loop testing verifies adaptive model-based choke control system,https://drillingcontractor.org/?p=38692
3/7/2016,"Mechanical pressure relief system protects riser against overpressure during MPD, riser gas handling",https://drillingcontractor.org/?p=38661
3/7/2016,"Technology champions build up business case for MPD adoption while advancing automation, training",https://drillingcontractor.org/?p=38652
1/25/2016,"Perspectives: Dennis Moore, Marathon Oil, hopes GOM MPD project will demonstrate technology’s potential in deepwater applications",https://drillingcontractor.org/?p=38035
1/25/2016,"Ambrose: 2016 Drilling Conference to provide resources, perspectives on how to navigate difficult market",https://drillingcontractor.org/?p=38084
10/26/2015,IADC engages in multitude of initiatives to catalyze improved performance for the global drilling industry,https://drillingcontractor.org/?p=37495
9/8/2015,Advanced MPD control system builds in ‘what-if’ visualization to facilitate real-time decisions,https://drillingcontractor.org/?p=36974
9/8/2015,"Drilling programs give university students hands-on exposure to automation, simulation",https://drillingcontractor.org/?p=36750
9/8/2015,"Despite challenges, lure of Latin America too strong to ignore",https://drillingcontractor.org/?p=36924
7/9/2015,"IADC workgroup conducting studies to better understand, manage gas-in-riser events",https://drillingcontractor.org/?p=35793
4/23/2015,Moonpool dance on the Pacific Santa Ana: Subsea MudLift Drilling system deployments pave path to deepwater DGD,https://drillingcontractor.org/moonpool-dance-on-the-pacific-santa-ana-subsea-mudlift-drilling-system-deployments-pave-path-to-deepwater-dgd-34968
4/23/2015,"New riser safety system enables effective contingency riser gas handling, MPD in deepwater",https://drillingcontractor.org/new-riser-safety-system-enables-effective-contingency-riser-gas-handling-mpd-in-deepwater-35098
4/23/2015,Eyes on the long term in US Gulf of Mexico,https://drillingcontractor.org/eyes-on-the-long-term-in-us-gulf-of-mexico-34965
3/10/2015,"Canadian market cools as weather warms, prices fall",https://drillingcontractor.org/?p=33250
3/10/2015,"Perspectives: David Pavel, Welling and Company: Impact of early-career field experience reverberates long after",https://drillingcontractor.org/?p=33286
3/10/2015,Going full DGD: New system offers alternative well control approach,https://drillingcontractor.org/?p=33324
1/28/2015,2015 SPE/IADC Drilling Conference Special,https://drillingcontractor.org/?p=32493
1/28/2015,Critical Issues in Drilling & Completions – Exclusive Q&A’s with industry leaders,https://drillingcontractor.org/?p=32298
1/28/2015,"HSE&T Corner: Maersk training, Weatherford team up for true-to-life, simulator-based MPD training",https://drillingcontractor.org/?p=32543
1/28/2015,"Perspectives: Moji Karimi, Weatherford: Millennials to lead charge on increasing speed of industry evolution",https://drillingcontractor.org/?p=32416
9/3/2014,"Perspectives: Mary Dimataris, M-I SWACO: Capturing expert knowledge with IADC Tech Pubs Committee",https://drillingcontractor.org/?p=30676
8/29/2014,"Uncertainty reigns in new regime for risk, contract management",https://drillingcontractor.org/?p=30638
7/10/2014,"Martin Culen: In future, MPD equipment on rigs will be as common as seat belts in cars",https://drillingcontractor.org/?p=29838
7/10/2014,"Front-loaded approach to well control stresses planning, prevention",https://drillingcontractor.org/?p=29709
4/22/2014,MPD poised for growth in Australasia deepwater,https://drillingcontractor.org/?p=28745
4/22/2014,Rewards on the offshore horizon,https://drillingcontractor.org/?p=28776
4/22/2014,Offshore drilling & technology briefs,https://drillingcontractor.org/?p=28637
4/22/2014,Certification of 1st DGD drillship paves path for ultra-deepwater drilling,https://drillingcontractor.org/?p=28640
4/22/2014,Onshore drilling & technology briefs,https://drillingcontractor.org/?p=28677
3/12/2014,Redesigned sub allows continuous circulation in MPD applications,https://drillingcontractor.org/?p=27999
3/12/2014,Going the distance,https://drillingcontractor.org/?p=28006
3/12/2014,OMV deploys first continuous circulation system in northern Iraq,https://drillingcontractor.org/?p=27959
3/3/2014,Predictive system helps wells adapt to changing formation pressures,https://drillingcontractor.org/?p=27968
1/24/2014,2014 IADC/SPE Drilling Conference: Exclusive roundup of abstracts from 18 technical sessions,https://drillingcontractor.org/?p=27450
10/30/2013,MPD opens door to new well control options in deepwater,https://drillingcontractor.org/?p=26412
10/29/2013,2013 operational summary: New IADC is well under way,https://drillingcontractor.org/?p=26458
9/10/2013,Turning vision into value,https://drillingcontractor.org/?p=25670
9/10/2013,Lateral moves,https://drillingcontractor.org/?p=25380
9/10/2013,Flying high,https://drillingcontractor.org/?p=24255
7/11/2013,"Training, processes underpin industry’s well control efforts",https://drillingcontractor.org/?p=23968
7/11/2013,Risk assessment targets well control functions of MPD operations,https://drillingcontractor.org/?p=24046
7/11/2013,"MPD provides precise prevention, handling of gas influxes in risers",https://drillingcontractor.org/?p=24097
7/11/2013,"Perspectives: MPD pioneer Don Hannegan credits work to early industry adopters, IADC committee",https://drillingcontractor.org/?p=23765
