"SN_APD_QA","QA_RESPONSE_CD","QA_RESPONSE_TXT"
"-84887","Y",""
"-75340","Y",""
"-75341","N/A",""
"-75342","N/A",""
"-75343","N/A",""
"-75344","Y","GMG 290061"
"-75345","N/A",""
"-75641","N/A",""
"-75642","Y",""
"-75643","N/A",""
"-75644","Y","GMG 290185"
"-75645","N/A",""
"-75640","Y",""
"-75380","Y",""
"-75381","N/A","WBM"
"-75382","N/A",""
"-75383","N/A",""
"-75384","Y","GMG290174 "
"-75385","Y",""
"-76024","Y","1000 sacks barite
200 sacks gel"
"-76025","N/A",""
"-76026","N/A",""
"-76027","N/A",""
"-76028","Y","GMG 290185"
"-76029","Y",""
"-88120","Y",""
"-88121","Y",""
"-88122","Y",""
"-88123","N/A",""
"-88124","Y",""
"-76390","Y",""
"-88125","N/A",""
"-76391","N/A",""
"-75011","Y","GC 561 and GC 562 are part of GC 563 Unit 754300002"
"-75012","Y","GMG 290006 Has synthetic coverage"
"-75013","N/A",""
"-75015","Y",""
"-75016","N/A",""
"-75017","N/A",""
"-75018","Y","GMG 290180"
"-75019","N/A",""
"-75128","Y",""
"-75014","Y",""
"-75129","N/A",""
"-75130","N/A",""
"-75131","N/A",""
"-75132","Y","GMG290000"
"-75133","N/A",""
"-75134","Y",""
"-75135","N/A",""
"-75136","N/A",""
"-75137","N/A",""
"-75138","Y","GMG290000"
"-75139","N/A",""
"-78030","Y","1000 sxs barite/ 200 sxs gel"
"-78031","Y",""
"-75560","Y","Minimum Mud Quantities:
1000 sxs Barite and 200 sxs Gel"
"-75561","N/A",""
"-75562","N/A",""
"-75563","N/A",""
"-75564","Y","GMG No. 290269
Outfall No. 038"
"-75565","N/A",""
"-78996","Y",""
"-78997","Y","Drilling rig is outfitted for zero discharge & zero discharge procedures will be followed."
"-78998","N/A",""
"-78999","N/A",""
"-79000","Y","GMG 290077"
"-85907","N/A",""
"-77902","Y",""
"-77903","N/A",""
"-77849","Y",""
"-80846","Y",""
"-78728","Y","submittal on August 7, 2008"
"-78729","N/A",""
"-78784","Y",""
"-78785","N/A",""
"-78786","N/A",""
"-78787","N/A",""
"-78788","Y","GMG290073"
"-78789","Y",""
"-78810","Y",""
"-78811","Y",""
"-78812","N/A",""
"-78813","N/A",""
"-78814","Y","GMG 290180"
"-78815","N/A",""
"-78816","Y","1000 sxs barite
200 sxs gel"
"-78817","Y",""
"-78818","N/A",""
"-78819","N/A",""
"-78820","Y","GMG 290255"
"-78821","Y",""
"-78830","Y",""
"-78831","Y",""
"-78832","N/A",""
"-78833","N/A",""
"-78834","Y","Outfall No. 163A"
"-78835","Y",""
"-78836","Y",""
"-78837","Y",""
"-78838","N/A",""
"-78839","N/A",""
"-78840","Y","GMG 460000"
"-78841","N/A",""
"-78844","Y",""
"-78845","N/A",""
"-78846","Y",""
"-78847","N/A",""
"-84888","N/A",""
"-84889","N/A",""
"-84890","Y","GMG 290260"
"-84891","Y",""
"-84906","Y","A minimum of 545 sxs barite and 200 sxs of gel will be maintained on the MODU during drilling operations."
"-86387","N/A",""
"-86388","N/A",""
"-86389","N/A",""
"-86390","Y","GMG No. 290269 
Outfall No. Pending"
"-86391","Y",""
"-86392","Y",""
"-86393","N/A",""
"-86394","N/A",""
"-86395","N/A",""
"-86396","Y","GMG290235"
"-86397","Y",""
"-85093","Y",""
"-85094","N/A",""
"-85095","N/A",""
"-85096","Y","GMG290255"
"-85097","N/A",""
"-85470","Y",""
"-84998","Y",""
"-84999","N",""
"-85000","Y",""
"-85001","Y","GC 561 & GC 562 are part of GC 563 Unit 754300002"
"-85002","Y","GMG 290006;Has synthetic coverage"
"-85003","N/A",""
"-85092","Y","200 sks of gel, 1000 sks Barite"
"-85471","Y",""
"-85472","N/A",""
"-85473","N/A",""
"-85474","Y","GMG 290180"
"-85475","N/A",""
"-85506","Y",""
"-85507","N/A",""
"-85508","N/A",""
"-77153","N/A",""
"-77154","Y","GMG 290269
Outfall No. 023"
"-77155","N/A",""
"-77164","Y",""
"-77150","Y","Minimum Mud Quantities:
1000 sxs Barite and 200 sxs Gel"
"-77165","N/A",""
"-77166","N/A",""
"-77167","N/A",""
"-77168","Y","GMG290073"
"-77169","Y",""
"-77204","Y","Minimum Quantities:
1000 sxs Barite and 200 sxs Gel"
"-76398","Y","657 sxs of barite and 200 sxs of gel will be on the rig during drilling operations. See Supplemental Attachment ""EI 183 
A-07ST Barite Sxs Calculations "" for details."
"-76399","Y",""
"-76400","N/A",""
"-76401","Y","Previously requested and approved on the original wellbore EI 183 A7."
"-76402","Y","All drilling mud and cuttings will be discharged in compliance with the NPDES Permit No. GMG 290344  No fluids containing free oil will be discharged.  Daily discharge rates will vary over the duration of the drilling process. Outfall Numbers and authority to discharge per NPDES Permit No. GMG 290344 at the surface location, EI 184 A platform for the EI 183 A7ST well have been requested from EPA. See Attachment ?EPA Filing? for details."
"-76403","Y",""
"-76418","Y",""
"-76419","N/A",""
"-76420","N/A",""
"-76421","N/A",""
"-76422","Y","GMG290000"
"-76423","N/A",""
"-78091","N/A",""
"-78092","N/A",""
"-78093","N/A",""
"-78094","Y","GMG 290208"
"-78095","Y",""
"-78404","Y",""
"-76704","Y","1000 Sxs. Barite
200 Sxs. Gell"
"-76705","N/A",""
"-76706","N/A",""
"-76707","N/A",""
"-77904","Y",""
"-77905","N/A",""
"-77906","Y","Not yet assigned"
"-77907","N/A",""
"-79001","Y",""
"-85908","N/A",""
"-85909","N/A",""
"-85910","Y","GMG290269
Outfall No. 023"
"-85911","Y",""
"-85906","Y","Minimum Mud Qunatities:
1000 sxs Barite and 200 sxs Gel"
"-79050","Y",""
"-79051","Y",""
